epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12756.1,0.42269,0.38202,0.16548,0.94114,0.92672,0.95484,0.44539,0.54925,0.53831,0.82398,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13153.1,0.41567,0.38638,0.1644,0.95091,0.92622,0.96396,0.50977,0.48434,0.54107,0.71798,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13543.4,0.40553,0.38481,0.16155,0.95423,0.9233,0.9597,0.47801,0.52536,0.56019,0.76221,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13939.9,0.40697,0.3799,0.1629,0.93424,0.92614,0.95286,0.46718,0.5343,0.50602,0.79522,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14330.8,0.42486,0.38252,0.16348,0.94414,0.92919,0.95875,0.50367,0.49653,0.52541,0.70963,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14727.4,0.39449,0.37754,0.15764,0.94921,0.92063,0.95054,0.4443,0.5587,0.52133,0.82605,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15121.3,0.38893,0.37869,0.15671,0.95376,0.92813,0.95802,0.47462,0.5251,0.51454,0.76085,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15516.9,0.35969,0.36818,0.1469,0.94361,0.93024,0.95827,0.51145,0.49861,0.48991,0.71559,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15911.5,0.38346,0.3742,0.15303,0.95116,0.91992,0.94976,0.4799,0.5209,0.51877,0.73477,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16303.2,0.37489,0.36981,0.15127,0.95233,0.91747,0.9487,0.50727,0.48741,0.49356,0.70117,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16702.4,0.36436,0.36349,0.14465,0.96418,0.91192,0.94676,0.48017,0.529,0.51687,0.7527,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17095.6,0.3674,0.36894,0.14644,0.94755,0.92545,0.95093,0.48068,0.51244,0.52436,0.73702,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17493.8,0.42489,0.37515,0.16182,0.9467,0.93455,0.96065,0.52625,0.4734,0.50175,0.67785,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17888.9,0.35604,0.36304,0.14228,0.94795,0.92654,0.95371,0.47941,0.52218,0.48374,0.75743,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18287,0.37171,0.36361,0.14424,0.95147,0.9309,0.9575,0.4918,0.50611,0.46976,0.7197,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18681.5,0.35952,0.36564,0.14375,0.95104,0.92623,0.95333,0.48293,0.51641,0.49744,0.75952,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19071.6,0.34789,0.36176,0.13971,0.94766,0.93429,0.95771,0.54131,0.46402,0.48758,0.65378,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19471.7,0.34348,0.3587,0.13868,0.94888,0.93553,0.96045,0.53601,0.47616,0.47549,0.66972,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19866.2,0.34406,0.35436,0.13851,0.9496,0.92648,0.95259,0.47653,0.52382,0.49552,0.74971,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20265.4,0.34193,0.34901,0.1361,0.94448,0.93582,0.95428,0.50391,0.49781,0.4862,0.69579,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20661.8,0.33097,0.34682,0.13258,0.9468,0.92664,0.9523,0.51624,0.4875,0.47896,0.66725,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21045.7,0.31944,0.34288,0.13046,0.94791,0.93105,0.95742,0.50553,0.50111,0.47953,0.71088,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21439.5,0.31871,0.34026,0.12728,0.95989,0.91205,0.94758,0.49864,0.50211,0.49262,0.68456,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21840.1,0.31979,0.34138,0.12538,0.95449,0.91915,0.94417,0.49267,0.51071,0.48353,0.69744,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22241.3,0.30851,0.33974,0.12472,0.95706,0.93024,0.95725,0.53715,0.46895,0.49745,0.66356,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22636,0.29971,0.33154,0.12365,0.9466,0.93553,0.96032,0.52781,0.4749,0.51046,0.66641,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23032.4,0.30606,0.33282,0.12353,0.9523,0.93885,0.95833,0.51263,0.48945,0.50477,0.67833,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23431.4,0.29186,0.32687,0.1208,0.95785,0.92177,0.9559,0.53034,0.46994,0.50845,0.64688,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23828,0.30328,0.33398,0.12359,0.95363,0.93088,0.95807,0.51164,0.48817,0.51151,0.67995,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
