epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2942.28,0.76082,0.54778,1.1659,0.94566,0.92941,0.96733,0.80206,0.64982,0.36055,1.06363,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3032.31,0.74231,0.53377,1.15437,0.94728,0.938,0.97354,0.80577,0.65426,0.34922,1.05661,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3122.7,0.7314,0.52958,1.14422,0.93675,0.94036,0.97022,0.80521,0.64594,0.35081,1.0422,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3209.57,0.72946,0.52672,1.14726,0.94932,0.93203,0.97193,0.80975,0.64832,0.33711,1.06248,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3299.25,0.71986,0.51186,1.13548,0.93948,0.93962,0.96953,0.8083,0.63926,0.34361,1.03653,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3386.5,0.71303,0.51533,1.13637,0.94773,0.93319,0.97349,0.80812,0.64037,0.34618,1.04468,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3472.8,0.7048,0.50935,1.13501,0.95645,0.93669,0.97298,0.81237,0.63393,0.33232,1.05483,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3561.57,0.70461,0.50175,1.1324,0.95805,0.93861,0.97403,0.81574,0.63525,0.3308,1.04694,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3650.66,0.69384,0.48888,1.11825,0.95007,0.93777,0.97349,0.81414,0.63251,0.33188,1.03907,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3738.73,0.69977,0.49913,1.13059,0.94737,0.93948,0.97371,0.81628,0.62711,0.33228,1.04469,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3826.92,0.69338,0.48386,1.12518,0.94432,0.93936,0.97379,0.81731,0.61997,0.32947,1.03028,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3917.44,0.67779,0.47387,1.11246,0.94861,0.94651,0.97455,0.81783,0.62311,0.3281,1.03146,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4006.4,0.67803,0.47328,1.11783,0.95789,0.93865,0.97494,0.81988,0.61664,0.31875,1.03161,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4097.6,0.6779,0.47461,1.1114,0.95187,0.94568,0.97289,0.81466,0.62792,0.32604,1.0378,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4189.01,0.67476,0.46454,1.11351,0.95369,0.93846,0.9734,0.81972,0.61501,0.31127,1.02744,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4279.88,0.66893,0.45914,1.11118,0.94421,0.94595,0.97615,0.825,0.61131,0.31462,1.03304,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4371.07,0.65536,0.44914,1.10014,0.95664,0.94097,0.97428,0.82488,0.61368,0.31606,1.02596,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4460.42,0.65642,0.44996,1.10363,0.95082,0.9508,0.97255,0.81728,0.62147,0.31583,1.04175,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4549.45,0.64861,0.44737,1.10305,0.95756,0.93554,0.9724,0.82302,0.60939,0.31435,1.03078,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4639.14,0.64306,0.44001,1.09003,0.9585,0.94082,0.97593,0.82428,0.61713,0.31178,1.03311,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4729.38,0.63808,0.43526,1.0869,0.94023,0.95136,0.97457,0.82417,0.61062,0.31145,1.04007,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4819.44,0.63607,0.42705,1.08523,0.95096,0.94415,0.97417,0.82323,0.60938,0.30454,1.03119,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4910.62,0.62878,0.42976,1.08431,0.94635,0.9402,0.97216,0.82309,0.61139,0.31162,1.03237,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5000.32,0.63392,0.41849,1.08325,0.95956,0.92976,0.97012,0.81994,0.60754,0.31991,1.03269,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5091.17,0.61382,0.41958,1.07138,0.95776,0.93538,0.9713,0.82043,0.62089,0.30741,1.04595,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5180.33,0.61057,0.4085,1.07743,0.9519,0.94232,0.97227,0.82024,0.61727,0.29875,1.04392,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5269.04,0.61453,0.41243,1.07294,0.95013,0.94646,0.97103,0.81918,0.61651,0.30324,1.04957,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5358.32,0.611,0.41062,1.06698,0.94773,0.94854,0.97324,0.82321,0.61911,0.30063,1.04023,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5449.27,0.60573,0.40043,1.06889,0.96364,0.94368,0.9745,0.82319,0.61002,0.29773,1.04055,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5539.44,0.59801,0.40364,1.06404,0.95093,0.9503,0.97337,0.82476,0.60705,0.29782,1.0352,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5628.94,0.58759,0.39962,1.05712,0.94777,0.95835,0.9734,0.82618,0.60109,0.2891,1.0272,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5719.7,0.58914,0.38807,1.04906,0.94487,0.95299,0.97134,0.82847,0.59683,0.2894,1.0281,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5811.41,0.58338,0.38114,1.04223,0.94831,0.95365,0.97411,0.82431,0.60543,0.30149,1.03154,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5900.91,0.57782,0.38019,1.0457,0.95865,0.94071,0.97422,0.82327,0.61444,0.29627,1.02988,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5992.18,0.57893,0.38212,1.0478,0.96585,0.93052,0.97402,0.82192,0.61892,0.29929,1.04303,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6082.83,0.57147,0.37632,1.04719,0.95592,0.94843,0.97227,0.82744,0.60539,0.29636,1.0328,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6173.25,0.56584,0.37072,1.04355,0.95733,0.95487,0.97453,0.82603,0.61217,0.29446,1.04436,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6264.37,0.56806,0.37061,1.0388,0.96283,0.9446,0.9751,0.82442,0.61229,0.29107,1.03828,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6354.98,0.55503,0.36017,1.029,0.9624,0.9448,0.97397,0.82388,0.61542,0.29403,1.04447,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6445.85,0.55136,0.36293,1.03116,0.96526,0.94317,0.97131,0.82448,0.60628,0.29352,1.03265,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6535.07,0.54965,0.35875,1.03399,0.961,0.94327,0.97047,0.82107,0.60903,0.29581,1.02904,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6626.48,0.54378,0.35536,1.02502,0.95289,0.94513,0.97255,0.82165,0.61306,0.30025,1.03719,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6717.08,0.53999,0.35088,1.02753,0.954,0.95147,0.9693,0.82198,0.61336,0.29897,1.04287,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6806.29,0.52999,0.34555,1.01872,0.95727,0.94712,0.97223,0.82145,0.61191,0.29395,1.04865,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6896.94,0.53563,0.34571,1.02722,0.96322,0.93911,0.97202,0.82683,0.60945,0.29864,1.04958,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6985.16,0.52337,0.34004,1.01677,0.96447,0.93744,0.97014,0.82361,0.60752,0.29968,1.03847,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7075.44,0.5231,0.33866,1.01007,0.96882,0.93674,0.97242,0.82483,0.60823,0.29562,1.03531,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7163.11,0.52121,0.3351,1.01401,0.95395,0.94378,0.97267,0.82801,0.60092,0.29346,1.02786,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7252.05,0.51745,0.33316,1.00784,0.96307,0.93951,0.97446,0.82512,0.5998,0.29618,1.02433,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7340.53,0.51157,0.33005,1.00691,0.96616,0.94253,0.9725,0.82636,0.60678,0.29684,1.02752,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7430.89,0.50784,0.32446,1.0069,0.95582,0.94863,0.97225,0.82694,0.60907,0.29659,1.0331,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7519.76,0.4939,0.31643,0.99794,0.95896,0.94965,0.97277,0.82386,0.6084,0.29091,1.03491,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7610.59,0.49493,0.32072,0.99737,0.96206,0.94479,0.97336,0.82516,0.60599,0.29121,1.03751,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7700.8,0.48885,0.31321,0.99859,0.96714,0.94006,0.97108,0.82535,0.60524,0.28947,1.03878,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7792.1,0.48889,0.31501,1.00117,0.96363,0.94805,0.97525,0.82379,0.60976,0.2885,1.04586,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7883.01,0.48501,0.30959,0.99551,0.96236,0.9453,0.9732,0.82376,0.60728,0.28855,1.0457,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7971.78,0.48309,0.31032,0.99789,0.96595,0.94098,0.97316,0.82596,0.6077,0.29077,1.04997,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8062.08,0.4729,0.30338,0.99245,0.96558,0.94315,0.97552,0.8241,0.60975,0.29162,1.05257,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8150.99,0.47427,0.30136,0.99088,0.96222,0.94762,0.97355,0.82331,0.61565,0.29187,1.05688,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8238.22,0.35384,0.18165,0.87948,0.96355,0.94458,0.97279,0.82507,0.60961,0.29282,1.0542,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8324.38,0.33795,0.17001,0.87316,0.96101,0.94399,0.97041,0.82292,0.60928,0.29324,1.05135,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8413.38,0.33001,0.16615,0.86519,0.94816,0.95367,0.9706,0.82388,0.61157,0.29358,1.05304,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8501.98,0.32535,0.16369,0.86603,0.96088,0.94001,0.97068,0.82447,0.60702,0.29034,1.04757,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8591.4,0.32307,0.16315,0.86539,0.96298,0.93862,0.97071,0.82363,0.60779,0.2926,1.04792,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8682.03,0.31636,0.15965,0.85969,0.94918,0.95514,0.97094,0.82278,0.60789,0.29086,1.05097,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8771.63,0.31284,0.15834,0.85456,0.9513,0.9517,0.97101,0.823,0.6092,0.29038,1.0539,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8860.5,0.30581,0.15129,0.85271,0.95165,0.95109,0.97069,0.82241,0.61042,0.29105,1.05629,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8949.91,0.30385,0.15253,0.85807,0.95381,0.95012,0.97071,0.822,0.61158,0.29035,1.06057,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9037.84,0.29873,0.14775,0.85359,0.95402,0.94878,0.97059,0.82145,0.61194,0.29119,1.0624,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
