epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,19890.2,0.67138,0.43886,0.11901,0.80037,0.74452,0.77517,0.3866,0.64703,0.58764,0.47727,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,20480.3,0.56501,0.43201,0.10228,0.79512,0.72377,0.75286,0.3521,0.72457,0.56162,0.49427,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21330.3,0.60509,0.43545,0.10454,0.80918,0.73629,0.76816,0.39473,0.66898,0.59458,0.46646,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,21931.9,0.59039,0.43067,0.10225,0.80507,0.74363,0.77268,0.39569,0.6386,0.58693,0.46777,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,22563.3,0.59586,0.43266,0.10309,0.7995,0.72443,0.7611,0.388,0.66515,0.58121,0.46868,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23157.7,0.56689,0.4292,0.09854,0.81079,0.7532,0.78193,0.41224,0.62887,0.58585,0.45001,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23756.2,0.59768,0.4237,0.10096,0.78213,0.73652,0.75691,0.38574,0.6454,0.59528,0.47066,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,24459.7,0.67906,0.43467,0.11587,0.81268,0.74656,0.76716,0.37781,0.67895,0.57113,0.49436,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,25048.4,0.59162,0.43513,0.1042,0.80414,0.73978,0.76666,0.34016,0.7016,0.5718,0.53605,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,25645.8,0.5382,0.42235,0.09473,0.83049,0.73667,0.77698,0.37161,0.663,0.59587,0.4877,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,26462,0.54439,0.42143,0.09321,0.81088,0.74678,0.77111,0.37983,0.68339,0.57558,0.4896,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,27054.1,0.69205,0.41016,0.11428,0.80446,0.72264,0.75212,0.36851,0.72617,0.55926,0.47438,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,27650.5,0.71332,0.42502,0.13078,0.81465,0.74033,0.77169,0.35503,0.70142,0.58335,0.50336,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,28467.5,0.54676,0.41978,0.092,0.8125,0.74877,0.77719,0.38971,0.65889,0.58113,0.46498,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,29059.3,0.5453,0.4148,0.09186,0.81843,0.73462,0.77152,0.37664,0.69467,0.56587,0.48435,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,29659,0.53852,0.40959,0.08818,0.81671,0.74296,0.77063,0.37223,0.67513,0.57653,0.47711,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,30479.6,0.5432,0.40794,0.09106,0.80769,0.72449,0.76011,0.3724,0.68215,0.57306,0.46592,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,31068.3,0.59159,0.41073,0.09811,0.81504,0.74369,0.77397,0.37142,0.6942,0.56898,0.48027,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,31897.9,0.6876,0.42553,0.11671,0.79,0.7465,0.76044,0.34678,0.7248,0.56051,0.50582,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,32485.8,0.57983,0.41467,0.10076,0.80164,0.73811,0.7677,0.37743,0.68059,0.57744,0.4751,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,33075.8,0.5003,0.4111,0.08494,0.80036,0.74597,0.76852,0.38456,0.67506,0.57055,0.46323,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,33894.3,0.51765,0.40628,0.08641,0.79928,0.74804,0.76718,0.38413,0.66181,0.58282,0.45977,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,34487.2,0.6007,0.40764,0.09919,0.80096,0.74718,0.76721,0.37128,0.67413,0.5881,0.47227,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,35080.4,0.5123,0.41225,0.08593,0.81131,0.75266,0.76992,0.35022,0.70517,0.58183,0.52398,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,35896.9,0.52967,0.40125,0.08639,0.81177,0.73595,0.76583,0.34498,0.70856,0.58073,0.52349,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,36495.4,0.57848,0.40514,0.09265,0.80169,0.75007,0.7671,0.34683,0.70955,0.57952,0.51821,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,37316.3,0.63026,0.40079,0.10033,0.7965,0.75168,0.76498,0.3603,0.68997,0.58181,0.5065,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,37906.9,0.65078,0.41421,0.10368,0.80282,0.74542,0.76252,0.34641,0.72409,0.57386,0.52106,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,38501,0.8327,0.40134,0.13231,0.80597,0.74332,0.76094,0.34795,0.72865,0.56783,0.51631,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,39318.8,0.78836,0.40892,0.12159,0.7999,0.73619,0.74431,0.32239,0.77803,0.54984,0.54841,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,39915.3,0.76449,0.39225,0.11408,0.79655,0.74537,0.74796,0.3281,0.77055,0.55204,0.54244,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,40513.5,0.79985,0.39594,0.12942,0.80769,0.74026,0.75726,0.34373,0.74415,0.56121,0.52442,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
